Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour
0.6904761904761905,5,0.05107163624153381,0.07069405452737479,0.4285714285714286,0.0,0.25,0.0,8,0.45714285714285713,0.6521739130434783,0.12843676355066774,0.16666666666666666,1,0.574395041443752,0.20069234314500656,0,0.06865811690102087,0.27847343270668706,5
0.5476190476190477,11,0.8052931025749058,0.5153007673453617,0.4285714285714286,0.6000000000000001,0.0625,0.0,6,0.22857142857142856,0.5217391304347826,0.06716417910447764,0.16666666666666666,1,0.15405320562913685,0.5449668434715296,1,0.5889494188336374,0.19159455728172317,0
0.6904761904761905,10,0.23480783224606075,0.18807221714240485,0.0,0.0,0.0,0.0,0,0.6,0.21739130434782608,0.269835035349568,0.25,0,0.43022020958983714,0.5882436880019293,0,0.1282091003098159,0.1892549987069678,1
0.6666666666666667,8,1.0,0.6804546486616788,0.28571428571428575,0.19999999999999996,0.0,0.0,1,0.05714285714285714,0.2608695652173913,0.28790259230164966,0.3333333333333333,0,0.7708938625844071,0.5761223849344439,0,0.6344817888918748,0.19375354901512457,0
0.1904761904761904,7,0.018338393319625033,0.05884297619859044,0.28571428571428575,0.8,0.25,0.0,1,0.17142857142857143,0.43478260869565216,0.14179104477611945,0.0,0,0.7836776404111647,0.20771997833527073,0,0.0698297868166685,0.16937954284799428,5
0.23809523809523808,9,0.27762980515438146,0.20109964115483758,0.4285714285714286,0.0,0.0,0.0,2,0.08571428571428572,0.0,0.09073055773762767,0.5,0,0.1856586584380281,0.10002509361640813,0,0.25034637400116244,0.5820078006847502,5
0.7619047619047619,4,0.28038562464416056,0.21843280701852152,0.0,0.0,0.25,0.0,0,0.0,0.5652173913043478,0.06559308719560096,0.3333333333333333,0,0.09478964206757903,0.3620964792821954,0,0.2663842876056431,0.09547226335426971,1
0.14285714285714285,5,0.017733459800130306,0.05836383009946869,0.7142857142857144,0.0,0.9375,0.0,1,0.22857142857142856,0.5217391304347826,0.5451688923802044,0.3333333333333333,1,0.12152603843148256,0.4345623844123341,1,0.033415680203463194,0.2566507443205926,4
0.23809523809523808,7,0.7757676351568396,0.2732242403067978,0.8571428571428573,0.0,0.3125,0.0,3,0.37142857142857144,0.4782608695652174,0.7733699921445406,0.5833333333333333,1,0.2978740457250486,0.2643463431663599,1,0.31486976146364914,0.6178003760456969,1
0.5476190476190477,13,0.718232117935647,0.43542614667054763,0.14285714285714288,0.19999999999999996,0.4375,0.0,8,0.34285714285714286,0.7826086956521738,0.26787117046347214,0.16666666666666666,0,0.3899586564343011,0.23008140079213651,0,0.5653575854853797,0.21335622912360788,0
0.4047619047619047,6,0.18509176072053318,0.13273813019564945,0.14285714285714288,0.6000000000000001,0.1875,0.0,0,0.45714285714285713,0.2608695652173913,0.25923016496465046,0.08333333333333333,0,0.8882053953687191,0.46952192814332183,0,0.20027192857930246,0.27053419108779964,5
0.4761904761904762,1,0.9523559496369339,0.5699714344218432,0.28571428571428575,0.8,0.125,0.0,6,0.6857142857142857,0.5217391304347826,0.3951296150824824,0.5833333333333333,1,0.9524114853627748,0.6394435956790128,1,0.5925251413639496,0.42864080944447713,0
0.5238095238095237,4,0.18814999641569566,0.13988542618239364,0.28571428571428575,0.3999999999999999,0.0,0.0,4,0.17142857142857143,0.4782608695652174,0.23095051060487043,0.0,0,0.5326640885380141,0.6026288985198673,0,0.13128789480941627,0.0695803582108719,1
0.4761904761904762,1,0.11577970551678546,0.09691677229971978,0.5714285714285715,0.19999999999999996,0.625,0.0,2,0.3142857142857143,0.7826086956521738,0.2808326787117047,0.08333333333333333,1,0.7462613794992018,0.17270252523237375,0,0.06951823854809237,0.09612910117922162,1
0.2619047619047619,10,1.0,0.769291067537566,0.7142857142857144,0.19999999999999996,0.75,0.0,4,0.8285714285714285,0.7826086956521738,0.450510604870385,0.3333333333333333,1,0.9998397018454326,0.34194659279919376,1,0.930211410836016,0.34667010487404243,0
0.16666666666666669,10,0.011186770772257356,0.06364804052651199,0.28571428571428575,0.0,0.875,0.0,0,0.8571428571428571,0.6956521739130435,0.7077769049489396,0.16666666666666666,1,0.3711770559908095,0.5082494869435641,1,0.06144905820741015,0.3179740847526832,5
0.5714285714285714,2,0.7820688321931809,0.2732242403067978,0.7142857142857144,0.3999999999999999,0.125,0.0,2,0.6571428571428571,0.34782608695652173,0.24312647289866465,0.0,1,0.3620066657315941,0.45592661694483194,0,0.3319473789152334,0.3036136475079031,0
0.5238095238095237,1,0.43010287914180545,0.2824230743455217,0.4285714285714286,0.6000000000000001,0.125,0.0,4,0.8285714285714285,0.7826086956521738,0.04556166535742342,0.16666666666666666,1,0.7867166262581734,0.13126209321772866,0,0.29190254779783925,0.3655925147430033,4
0.49999999999999994,11,0.001989971429706722,0.043976958348212,0.14285714285714288,0.0,0.875,0.0,0,0.7428571428571429,0.6086956521739131,0.38884524744697574,0.3333333333333333,1,0.8941898598059056,0.32656338487871145,0,0.04561112448022868,0.18726274570031737,5
0.02380952380952378,4,0.9613159017841951,0.5847760372079837,0.28571428571428575,0.6000000000000001,0.0625,0.0,3,0.37142857142857144,0.5217391304347826,0.5663786331500393,0.41666666666666663,1,0.925715163537513,0.29682464789248403,1,0.7275951628818123,0.42858819647265023,1
0.4523809523809524,3,0.04884855863947289,0.09255158729648401,0.4285714285714286,1.0,0.1875,0.0,3,0.45714285714285713,0.4782608695652174,0.39198743126472907,0.5833333333333333,1,0.7409982567575691,0.5083964054801835,0,0.09770455777056367,0.29148774744085454,3
0.23809523809523808,8,1.0,0.6644097988035065,0.5714285714285715,0.8,0.8125,0.0,8,0.2857142857142857,0.8260869565217391,0.20149253731343295,0.5,1,0.6865302796534887,0.6827350537495607,0,0.7451522782473349,0.7836345333020913,4
0.2619047619047619,14,0.1680353249629462,0.14422128970777548,0.14285714285714288,0.0,0.1875,0.0,6,0.0,0.17391304347826086,0.45090337784760415,0.0,0,0.6087522792393852,0.4360419922246157,0,0.08677877916822278,0.39405912893718653,5
